Collection Unique ID,Suborder,Family,Species name,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),North_America
25862,Anisoptera,Aeshnidae,Aeshna persephone,472.605,631.417,50.144,49.34,50.419,50.694,11.896,15.833,12.785,17.187,0.539882452,0.315240084,0.018135251,-0.096530538,0.604304636,0.662561576,111.2726059,105.55107,47.244,TRUE
33544,Anisoptera,Aeshnidae,Aeshna persephone,511.396,661.233,51.435,49.699,51.88,51.393,12.446,15.875,13.399,17.399,0.570379437,0.272652389,0.015737917,-0.114472071,0.622432859,0.669099757,114.5219979,107.6668815,47.244,TRUE
24453,Anisoptera,Aeshnidae,Aeshna persephone,476.138,624.503,49.699,49.149,49.784,50.102,12.277,15.536,13.102,16.764,0.583333333,0.299535277,0.032313364,-0.112669746,0.584814217,0.661616162,112.7643766,106.4042729,47.244,TRUE
33669,Anisoptera,Aeshnidae,Aeshna persephone,448.068,603.628,50.102,47.498,50.229,48.429,11.811,15.642,12.34,16.891,0.599662874,0.350961539,0.048337321,-0.113129423,0.588336192,0.652882206,118.1377156,108.391971,47.244,TRUE
38932,Anisoptera,Aeshnidae,Aeshna sitchensis,277.302,363.7,37.994,36.661,38.185,37.317,8.996,12.277,9.652,12.848,0.591463415,0.357912649,0.016591488,-0.122136695,0.548245614,0.589785832,120.2036756,111.5589818,47.244,TRUE
20794,Anisoptera,Aeshnidae,Aeshna sitchensis,265.843,320.821,38.037,35.518,38.418,36.026,8.954,11.176,9.546,11.811,0.579063361,0.228554642,0.045998452,-0.105373429,0.549889135,0.603942652,116.8430943,117.4399783,47.244,TRUE
22108,Anisoptera,Aeshnidae,Aeshna sitchensis,299.904,385.164,38.756,37.444,38.926,38.375,9.313,12.361,10.202,13.631,0.557911909,0.194153337,0.019066673,-0.120361627,0.593360996,0.647515528,119.4562924,111.6196186,47.244,TRUE
25854,Anisoptera,Aeshnidae,Aeshna sitchensis,298.383,390.003,39.92,38.291,40.174,38.968,9.525,12.446,10.351,13.695,0.593782929,0.219445953,0.036060677,-0.129341058,0.599182004,0.632148377,118.488932,108.9259322,47.244,TRUE
22107,Anisoptera,Aeshnidae,Aeshna sitchensis,305.492,380.292,38.82,37.825,38.862,38.439,9.652,12.34,10.499,12.954,0.616557734,0.265418502,0.018919586,-0.088699613,0.590725807,0.648692811,123.0786949,116.4510371,47.244,TRUE
33401,Anisoptera,Aeshnidae,Aeshna sitchensis,310.644,395.809,39.582,37.846,40.153,38.608,9.927,12.848,10.732,13.907,0.568265683,0.235197368,0.030891706,-0.142751518,0.621301775,0.659056317,115.2470772,107.6054157,47.244,TRUE
22094,Anisoptera,Aeshnidae,Aeshna subarctica,363.835,447.039,45.403,42.757,45.847,43.688,9.927,12.679,10.668,13.335,0.621883657,0.25629845,0.031796783,-0.094404391,0.573412698,0.636507937,129.3045503,108.7864015,47.244,TRUE
